PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
0.8436813016700031,0.22452212186671094,0.12129461197355801,0.24152250237040224,0.8241599557110751,0.7102948998619414,0.7084097950282797,0.6022196437145446,0.4880301735989681,0.5409379381838019,0.5538222196831868
0.8436824754756597,0.22452047247219686,0.12129130824276058,0.24153116827168217,0.8241505623460426,0.7102976395556276,0.7084146854093335,0.6022206967868483,0.488028697528768,0.5409396271890535,0.5538263013435935
0.843759443589426,0.22441231931763023,0.1210746778947569,0.24209940379846545,0.8235346259817569,0.7104772851844829,0.708735354681287,0.6022897482421886,0.48793190949707316,0.5410503776762636,0.5540939416473993
0.843833057972745,0.22430887871881813,0.12086748677760312,0.2426428796073061,0.8229455278032789,0.7106491031170917,0.709042051435944,0.6023557909195185,0.4878393388088073,0.5411563024341837,0.5543499200643293
0.8468569490305836,0.22005980282273976,0.11235660428185301,0.26496747929027537,0.79874687756981,0.7177069454376737,0.7216403716562858,0.6050686556126615,0.4840367711060786,0.5455074212486983,0.5648648603661444
0.8438449637158331,0.22429214914588955,0.12083397750808622,0.24273077660600245,0.8228502522436618,0.7106768914387666,0.7090916538723464,0.6023664720814557,0.48782436723963446,0.541173433773164,0.5543913197627394
0.8438749796033367,0.22424997177188644,0.1207494963919803,0.24295237608158893,0.8226100504806833,0.710746949320172,0.7092167079021496,0.6023934006446494,0.4877866220159452,0.5412166240503113,0.5544956936502803
0.8439397066009703,0.22415901944582386,0.12056731923657849,0.2434302386378816,0.8220920734945957,0.7108980238577278,0.709486377485971,0.6024514700602516,0.48770522728776616,0.5413097606256123,0.5547207680669886
0.8441639034813745,0.22384398509363304,0.11993630665426736,0.2450854257823462,0.8202979407733542,0.7114213053518008,0.7104204402672385,0.6026526068702517,0.48742329787953964,0.5416323606286626,0.5555003652046543
0.8442306427172764,0.22375020523411773,0.11974846596035565,0.24557814416940446,0.8197638608757819,0.7115770765071044,0.7106984933614379,0.6027124815526601,0.4873393727453032,0.5417283926415377,0.5557324367534883
0.844463223923799,0.22342338949254062,0.11909385530091998,0.24729523060872563,0.8179026326900213,0.7121199272417935,0.7116674874359464,0.6029211403076864,0.48704689997850426,0.5420630569678135,0.5565411886083442
0.8444766388455883,0.22340453926952245,0.11905609837752062,0.24739426948049617,0.8177952799467906,0.7121512380267792,0.7117233775051323,0.6029331754197282,0.48703003060478844,0.5420823598849743,0.5565878361558485
0.8435038893293392,0.22477141606612597,0.12179394728551407,0.24021271329123733,0.8255796957403,0.7098808147305059,0.7076706488632977,0.6020604793577906,0.4882532710663605,0.54068265710435,0.5532053058674423
0.8435174719376509,0.2247523302153201,0.1217557184005722,0.24031299014890492,0.8254710010877789,0.7099125169003039,0.7077272375583483,0.602072664908733,0.48823619082547315,0.5407022013079753,0.5532525365092904
