latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15
-0.00069636793,-0.00050308293,0.0003841865,-1.8116267e-05,-0.00046905893,-4.737839e-05,-1.6457303e-05,0.00021312542,5.646232e-05,-0.000109712586,0.000950453,-0.00048530652,-0.00010578653,0.00037773448,0.0012495413,0.0007152878
1.3689907e-05,0.00052530196,-0.0005526297,0.00030777676,-0.0007623239,0.00027841068,-0.0003150508,0.00021714359,0.00018746483,6.231776e-06,0.0015415738,-0.00048361867,0.00044449666,4.632637e-06,-0.00051233656,3.458979e-05
3.6871385e-05,0.0006980473,0.00053439196,0.00036854693,0.00042232114,-0.000114487055,0.00023014013,0.00043195768,-0.000729941,-0.00017174687,0.00046873785,-0.00094198197,0.00032803023,-0.00075572956,0.00039215904,-0.00067539036
-0.0006614836,-0.0001786627,0.00050651585,-0.00015493965,0.0006986332,-0.00033778304,0.00052303326,-8.725216e-06,-0.00013526574,-0.00018444144,-0.0011342025,0.0003014152,0.00068351737,-5.890347e-06,0.00085393904,-0.00028324817
-0.00010492028,-0.00015460888,-0.00041026238,-0.00036436904,0.000493989,-0.00017544495,-0.00072485156,0.0002269076,0.00019689079,-0.0007491525,8.1423736e-05,-3.068204e-05,0.0012488212,0.0010072669,-0.00013521564,0.0003701343
0.0007728946,-0.00037270732,0.0004931017,-0.00010892881,0.0005437215,-0.00048172736,-0.00030967564,0.001150756,1.7614046e-05,-0.00026644077,-9.353372e-05,0.000109269466,0.000253241,-0.00043029414,-0.0006336099,0.00093843765
0.0001975221,-0.00053427485,0.00067655166,-0.0012485598,0.00015023536,-0.00033177785,-5.1696883e-05,-1.3418252e-05,-0.0005369382,0.0006048653,-0.0001299465,-0.00067173515,-0.0007345216,-0.0005531549,5.499021e-05,0.00048504001
0.00086745527,0.00043173533,-0.00024617175,-0.00076407613,-0.00027044324,-0.0008901034,0.0007564898,3.970916e-05,0.00064837956,-0.00029845917,-2.6179564e-06,-0.0006295221,-0.00038137828,0.0006493537,0.00011231081,0.00030501897
-0.0011517315,-9.400425e-05,-0.00019253886,-0.00030969546,0.00048770808,-0.0002887316,0.0005045376,-3.8675294e-05,0.0004984525,0.00015925798,0.00018439865,-0.0004937465,-0.00043281546,0.0005919589,-0.0010983655,-0.00016278573
-0.00046064737,0.00088642986,-0.0001860981,0.0003176609,7.3447554e-05,0.0010257445,0.0005130739,0.0001385551,0.00046982075,-2.7455731e-05,-0.0005435736,-0.00057120074,0.00012804291,-0.0003194506,-0.00028891626,0.0010976794
