PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
0.6765837639341639,0.5250792136917055,0.9976047003689255,0.5179772331179572,0.18686148695826077,0.3886880519997353,0.34053046254710884,0.4819011745371139,0.6070640529887058,0.5901622488999253,0.6980068727257447
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6765837639341639,0.5250792136917055,0.9976047003689255,0.5179772331179572,0.18686148695826077,0.3886880519997353,0.34053046254710884,0.4819011745371139,0.6070640529887058,0.5901622488999253,0.6980068727257447
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6765837639341639,0.5250792136917055,0.9976047003689255,0.5179772331179572,0.18686148695826077,0.3886880519997353,0.34053046254710884,0.4819011745371139,0.6070640529887058,0.5901622488999253,0.6980068727257447
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6765837639341639,0.5250792136917055,0.9976047003689255,0.5179772331179572,0.18686148695826077,0.3886880519997353,0.34053046254710884,0.4819011745371139,0.6070640529887058,0.5901622488999253,0.6980068727257447
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6765837639341639,0.5250792136917055,0.9976047003689255,0.5179772331179572,0.18686148695826077,0.3886880519997353,0.34053046254710884,0.4819011745371139,0.6070640529887058,0.5901622488999253,0.6980068727257447
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6807634333549528,0.5187072400885808,0.9948686828056426,0.5170088353277549,0.2357821817370025,0.38688661450401396,0.3446989213630176,0.4705845618606963,0.5843981608750951,0.5505077005666885,0.6057802332483908
0.6982463457631465,0.4718833285230762,0.9376625465447362,0.4350497257584352,0.6269329778490126,0.6831955402430929,0.3169562721034258,0.45464421193478094,0.5483563979383391,0.47257994401046666,0.8545655087533819
0.69326496938151,0.47254332376957087,0.9261618879940867,0.41547180759683777,0.6407336769298911,0.7577222650100158,0.30070938144528414,0.46496702127237893,0.5580411928749114,0.4740918535105328,0.7809310481518622
0.4874963323221401,0.08546993078782333,0.732056216436785,0.5737702991986332,0.6739158970319418,0.9220169606064745,0.257110757458138,0.6575393680217246,0.5213293498856293,0.42410320164646986,0.5134673032981403
0.5570740582871946,0.2048822930167047,0.806343154471818,0.560700040804349,0.6217290918069893,0.6869938279883828,0.3031729310924917,0.17113425937704496,0.6829381524423739,0.4695751504295937,0.830037922944117
0.6867463683678522,0.47459335773238454,0.9142345923039831,0.3844297864268611,0.6732888582335684,0.915986262796747,0.27660839842938034,0.4789279698194548,0.5670452354550529,0.5071908408643581,0.5834458975970739
0.5520879298119408,0.2055431691293279,0.7948312630889802,0.5411017562959325,0.6355470321986435,0.7616064693753494,0.28690720714621737,0.18146823627507636,0.6926325024511044,0.4711013385844099,0.7562939543979257
0.5570767975438277,0.20488136825316217,0.8063499477211368,0.5607131185172928,0.6217180446277104,0.6869392655288871,0.30318491081451177,0.17112598679084262,0.6829325083230442,0.4695651992403402,0.830108677341667
0.6867537678630318,0.47459168695197557,0.9142523164486702,0.38446250101923485,0.6732611683410372,0.9158486700272671,0.27663858664675967,0.4789092290881748,0.5670302313843416,0.5071672665183565,0.5836225873671729
0.5521102309412631,0.20553794932046782,0.7948847775644517,0.5412005781791231,0.6354635050710675,0.7611912745612301,0.28699819416495953,0.18141124715539814,0.6925874659163563,0.47103045492030515,0.7568237616043358
0.53233318017716,0.07599767511053362,0.8256376770780133,0.7030450710763124,0.5762139364328192,0.37443147072260263,0.34265611137678437,0.608967213475116,0.48087220205346004,0.44230119726460193,0.4932315149652625
0.5323331369168529,0.07599760876435824,0.825637628351494,0.7030450976157115,0.5762139259195547,0.3744314793104274,0.34265610450897394,0.6089670099381618,0.4808722824561467,0.44230108772338983,0.493231436944396
0.5902018454459582,0.19816685680678986,0.8759966178603437,0.6384355964812216,0.5711600284610198,0.3760641995567395,0.3475236003332429,0.1473704335801465,0.6615911572849028,0.5230389083361175,0.5337601535079227
0.5521617050445146,0.20552588175635716,0.7950083229899428,0.5414288318282443,0.6352705515206593,0.7602322601154134,0.28720838692133843,0.18127954256457385,0.6924834448622987,0.4708665216161342,0.7580485857955354
0.6977634449552085,0.4720730641993451,0.9366063373454951,0.4325404156272545,0.629651273012798,0.695842364649121,0.31461010866150413,0.45602957034797503,0.5492022805648462,0.47634988104032927,0.8360241163063414
0.48790092106452077,0.08536198270839063,0.7329477516983842,0.5756210421014637,0.6721958123377711,0.9135810485117155,0.25872879962908124,0.6565557379104092,0.520601558390493,0.4224609872203483,0.5242638086744399
0.53233287735501,0.0759972106873058,0.8256373359923788,0.7030452568521062,0.5762138628399676,0.37443153083737607,0.3426560633021113,0.6089657887164361,0.4808727648722671,0.44230043047611717,0.4932309688191968
0.5563278735062505,0.2051300755520008,0.8046579681321292,0.5570361630173731,0.6254232673955654,0.7044962101670458,0.2997630757854352,0.17317615527703395,0.6843141408961626,0.4741655745434667,0.8053176379795635
0.6936120719449622,0.4724389583474352,0.9269817573075416,0.4171273952993568,0.6391558665294926,0.7501760068483689,0.30227995996735324,0.46401159348807575,0.5573589993601822,0.4722471657274904,0.7914924627680894
0.4880830106059748,0.08528468220286683,0.7332913867170134,0.576587771677975,0.6710807208584173,0.9083798878987187,0.2595570733167639,0.6560798407447406,0.5203432678032117,0.42094595185179906,0.5316196936914994
0.6872574705106992,0.474426589637179,0.9152878996707717,0.38691061382180647,0.6707379531677291,0.9037620988243219,0.2787452984469986,0.47766439971325503,0.5662115106264926,0.5042750774851589,0.5998014502689591
