PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
0.739672544351304,0.291017241308623,0.0883458878510287,0.48077568444482155,0.11146322260975217,0.3448927912592715,0.5757261240487686,0.4221236274054506
0.5537843554112303,0.2697706223532197,0.26112025000936445,0.7631837337053409,0.4155725055298258,0.2195854553734528,0.2679379976246493,0.5293965793472577
0.7585856592825722,0.3027143115591467,0.08365606924354768,0.48026989237715034,0.11949599971039568,0.32958663838736313,0.5737848399911994,0.4272190019002764
0.7592284889642757,0.3029966876411046,0.08352116382066438,0.479933018083181,0.11934001165529981,0.3300247877349318,0.5730658705043753,0.42729748786514454
0.7584982993459959,0.3025937983403481,0.08364160400936715,0.4802433531351753,0.11948949856829566,0.3296604686306983,0.5738047240456855,0.4271864091684281
0.7791511787804892,0.31660109990270535,0.08001471545306849,0.48191040168135935,0.12947527406897552,0.31193164919271255,0.5700340363778653,0.43329815997955917
0.738854994796448,0.2904938387890679,0.08845186280555095,0.4810594802548408,0.11160620838064803,0.34460230239837314,0.5764848616445649,0.4219799559768858
0.7632750709522355,0.30888116054005504,0.08431187824113412,0.4814284173289193,0.11974306278784833,0.32611420089438814,0.572431152523486,0.42888788147512624
0.7817365177440234,0.3197755985683095,0.08109698419789257,0.48407404060008036,0.131389285294064,0.30928507584040843,0.567725843697286,0.4345493356693884
0.7597526485837331,0.30371976695389613,0.08360795522574771,0.4800922535350315,0.11937901850789989,0.3295818062749207,0.5729465661774591,0.42749304425623447
0.571320924709403,0.30856839611178416,0.27274101028587455,0.7766730395658553,0.41217767883887096,0.2026439394280895,0.26043585696648225,0.5383480236574777
0.7782569887375734,0.31515513594464223,0.07897112409552781,0.4797283593723699,0.12748328849399132,0.31413040897256317,0.5713846509177881,0.43251658303677787
0.7411782539502536,0.29330679779827623,0.08949073584783335,0.4831435014476365,0.1135007161794365,0.34217721977607457,0.5742363211274436,0.42313335347117015
0.7603254237857973,0.3050245428709803,0.08471899929473009,0.4824427329910056,0.12144899811043203,0.32716397182128576,0.5719554363809484,0.4282353782165817
0.5387002092327172,0.26317606760155754,0.2679937896559325,0.7681413639686229,0.411471729797655,0.2297509541398658,0.2661409382437722,0.5264643284124357
0.5405776612628701,0.26624777615881956,0.2668756224867459,0.7656891706162767,0.40806630126163096,0.22957824678144895,0.26886676666609466,0.5265108603675316
0.7476503234851939,0.30232480905350984,0.08978753780962373,0.48346534957943793,0.11215882513680117,0.3376598434686444,0.574196623616008,0.4251806939486065
0.7699424510374819,0.31838103000296303,0.08553654968702068,0.4837199938339095,0.12034114818339714,0.31998870675378877,0.5711999129080159,0.43145605704055745
